sim_number	x_coord_loc_0,x_coord_loc_1,x_coord_loc_2,x_coord_loc_3,x_coord_loc_4	y_coord_loc_0,y_coord_loc_1,y_coord_loc_2,y_coord_loc_3,y_coord_loc_4	m_0_1_1_0_z_1,m_0_2_2_0_z_2,m_0_3_3_0_z_3,m_0_4_4_0_z_4,m_1_0_0_1_z_5,m_1_2_2_1_z_7,m_1_3_3_1_z_8,m_1_4_4_1_z_9,m_2_0_0_2_z_10,m_2_1_1_2_z_11,m_2_3_3_2_z_13,m_2_4_4_2_z_14,m_3_0_0_3_z_15,m_3_1_1_3_z_16,m_3_2_2_3_z_17,m_3_4_4_3_z_19,m_4_0_0_4_z_20,m_4_1_1_4_z_21,m_4_2_2_4_z_22,m_4_3_3_4_z_23
sim111	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim113	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim115	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim117	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim118	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim119	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim120	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim121	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim122	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim124	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
sim125	NA,NA,NA,NA,NA	NA,NA,NA,NA,NA	0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478,0.00478
